,url
70,https://english.kyodonews.net/news/2022/05/283064c9dec9-kyodo-news-digest-may-10-2022--1-.html
71,https://english.kyodonews.net/news/2022/05/e616433e98b4-sumo-kotonowaka-beats-ozeki-for-3rd-straight-day-to-retain-lead.html
72,https://english.kyodonews.net/news/2022/05/9286b607caf3-update1-banning-russian-lng-tough-without-supply-alternatives-japan-minister.html
73,https://english.kyodonews.net/news/2022/05/d340f17c396d-sumo-tokyo-uni-apprentice-suyama-starts-career-with-1st-maezumo-win.html
74,https://english.kyodonews.net/news/2022/05/792fd525cbd7-baseball-angels-ohtani-hits-1st-career-grand-slam-in-2-homer-night.html
75,https://english.kyodonews.net/news/2022/05/d49f09344888-us-indo-pacific-economic-initiative-launch-eyed-in-may-japan-envoy.html
76,https://english.kyodonews.net/news/2022/05/d387242dc09f-voting-under-way-in-philippines-to-elect-new-president.html
77,https://english.kyodonews.net/news/2022/05/4d0035f501ba-update1-japan-foreign-minister-in-s-korea-for-president-yoons-inauguration.html
78,https://english.kyodonews.net/news/2022/05/e879dff95a99-japan-vigilant-against-china-navy-activity-involving-aircraft-carrier.html
79,https://english.kyodonews.net/news/2022/05/f52a189c5650-coronavirus-pandemic-latest-may-9-2022.html
80,https://english.kyodonews.net/news/2022/05/bcc368472bd3-tennis-osaka-out-of-italian-open-with-injured-achilles-tendon.html
81,https://english.kyodonews.net/news/2022/05/805b6d1f237e-60-meter-long-spiral-slide-opens-at-osakas-iconic-tsutenkaku-tower.html
82,https://english.kyodonews.net/news/2022/05/73631bc79a83-urgent-g-7-voices-grave-concern-over-process-of-selecting-hong-kong-chief.html
83,https://english.kyodonews.net/news/2022/05/0c1411bb664e-kyodo-news-digest-may-9-2022--1-.html
84,https://english.kyodonews.net/news/2022/05/3936be564dfb-breaking-news-japan-to-maintain-interests-in-russian-oil-projects-kishida.html
85,https://english.kyodonews.net/news/2022/05/b2c594797c70-sumo-terunofuji-rebounds-from-upset-beats-takayasu-on-day-2.html
86,https://english.kyodonews.net/news/2022/05/d1dca1845091-urgent-putin-says-russias-military-operation-in-ukraine-right-choice.html
87,https://english.kyodonews.net/news/2022/05/39238a466964-focus-50-years-after-return-okinawas-strategic-importance-grows-for-us.html
88,https://english.kyodonews.net/news/2022/05/e9039ba6af26-musk-warns-japan-will-cease-to-exist-if-birthrate-continues-decline.html
89,https://english.kyodonews.net/news/2022/05/f63be6b756dc-g-7-commits-to-russian-oil-import-ban-or-phaseout-amid-ukraine-war.html
90,https://english.kyodonews.net/news/2022/05/c7c88195fa43-baseball-ohtanis-clutch-hitting-powers-angels-to-comeback-win.html
91,https://english.kyodonews.net/news/2022/05/3d2ec42f6cdf-focus-speculation-of-larger-ruling-bloc-as-small-opposition-plots-survival.html
92,https://english.kyodonews.net/news/2022/05/eb431b6af41d-slovakia-pm-vows-to-keep-military-aid-to-ukraine-in-fight-for-freedom.html
93,https://english.kyodonews.net/news/2022/05/5e51c983dbba-coronavirus-pandemic-latest-may-8-2022.html
94,https://english.kyodonews.net/news/2022/05/d6eba2b08be7-kyodo-news-digest-may-8-2022--1-.html
95,https://english.kyodonews.net/news/2022/05/e9c96f45e5da-hong-kongs-former-no-2-john-lee-wins-leadership-race.html
96,https://english.kyodonews.net/news/2022/05/ba78db6b6dea-japan-pacific-nations-share-concerns-over-chinas-pact-with-solomons.html
97,https://english.kyodonews.net/news/2022/05/4c89f2e0e643-sumo-daieisho-upsets-terunofuji-in-opening-day-return-from-injury.html
98,https://english.kyodonews.net/news/2022/05/b69e750eb008-baseball-tsutsugo-belts-first-home-run-of-season-in-win-for-pirates.html
